"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SEPHS1",-1.20150287652832,4.19703104653995,-9.61209102199401,1.40923550908851e-16,6.51390136289721e-15,27.1181501406207
"STEAP3",-1.14546372244518,4.0757203313843,-9.6058741328871,1.45820589216828e-16,6.71120405759777e-15,27.0843978949762
"COXFA4L3",-2.9532077967744,6.94250850609917,-9.60114089244874,1.49662498455762e-16,6.87321000972646e-15,27.0587023676943
"SLC22A12",-2.53899236301534,4.37652488657851,-9.59573404571364,1.54174902440095e-16,7.0501178621161e-15,27.0293519315942
"CEP162",-1.24923561537308,5.35560694860331,-9.59149872724814,1.57804194987597e-16,7.20065936743621e-15,27.0063624393973
"LINC01551",-2.49837385413297,2.74762507592562,-9.58724023005758,1.61539300309017e-16,7.3553768829404e-15,26.9832484125547
"EXOSC4",-1.11607239400316,4.58376134264669,-9.57159334783603,1.76036659234014e-16,7.96453995326771e-15,26.8983322704106
"TRUB2",-1.81659864665901,7.21111729285537,-9.54500450826151,2.0371049169403e-16,9.17771635047681e-15,26.7540743899261
"CYP27B1",-2.57487719321897,8.01895973432231,-9.54417243217015,2.0464325591616e-16,9.20032995808338e-15,26.749560793107
"ARAP1",-1.5706899395121,3.58057216316253,-9.54274368693906,2.06254842624994e-16,9.25330286608561e-15,26.7418106838925
"WDR86",-1.54837954756763,3.17735220436777,-9.52411523409434,2.28463338204236e-16,1.01854584287087e-14,26.6407760937996
"PSENEN",-1.32441645341351,3.59636423749587,-9.48893483400664,2.77116296835724e-16,1.21515780676117e-14,26.4500407628139
"RHAG",-1.63694015652398,3.08824317033058,-9.48572664306988,2.82037117608121e-16,1.2342013619921e-14,26.4326518527807
"PIN1P1",-2.51706456028002,4.21786265140496,-9.47151839455493,3.04899421093004e-16,1.32880145662063e-14,26.3556505216806
"LINC00710",-1.88423634347007,4.4823445556281,-9.46801227194439,3.10819859928239e-16,1.35184482866956e-14,26.3366515956718
"MADCAM1",-1.94868526640561,5.29354181969422,-9.38120978559049,5.00218536181252e-16,2.12792168130491e-14,25.8666045453311
"ANXA5",-1.00596531353509,3.04506541495868,-9.37367180755591,5.21307109266337e-16,2.21322332373412e-14,25.8258149342643
"CCNDBP1",-1.32219121443728,2.92941076982645,-9.35236465071916,5.85835506979064e-16,2.47733014881939e-14,25.7105436996458
"HERC2",-1.16347344736355,4.88809232281818,-9.30715484747562,7.50344648674773e-16,3.14805696904711e-14,25.4660911729736
"CCDC28B",-2.43978534114514,5.60755436482231,-9.2968011183269,7.9408356311562e-16,3.32503029222236e-14,25.4101335100029
"SENP7",-1.05186194875003,3.3121979670124,-9.2762664019502,8.88494895502006e-16,3.69859814687044e-14,25.29918064275
"SOX18",-1.06565412780603,2.48189724703306,-9.27065607057806,9.16182304778792e-16,3.79624497132822e-14,25.2688737221664
"OR10H1",-1.62328390880377,2.91838894589256,-9.26939942156712,9.22500953868344e-16,3.8030903223665e-14,25.2620857233423
"PINX1",-2.51631524690109,5.17659698064463,-9.26709698472344,9.34190960234854e-16,3.84386280458869e-14,25.2496491073118
"EDNRA",-2.00423167021594,6.38117532522589,-9.23888151007622,1.09002880538264e-15,4.4678627905847e-14,25.0972834167946
"F8",-2.04505570807075,4.79696226644628,-9.22095582017691,1.20223610821637e-15,4.8809414621598e-14,25.000522463385
"ISLR",-3.63807831494237,4.47185601192562,-9.21567822144157,1.23741481290622e-15,5.00112021552442e-14,24.9720404178894
"TEX56P",-3.8561190423564,5.70714014624793,-9.21511852921112,1.24120520450852e-15,5.00112021552442e-14,24.9690200388471
"PGAM2",-3.37538920506287,7.35217241412397,-9.20930086683964,1.2812961082834e-15,5.15293378387798e-14,24.9376268178428
"RAB10",-2.12389642691807,7.27764710486777,-9.20168496814914,1.33573662020098e-15,5.36177735420901e-14,24.8965349308396
"KLRA1P",-2.47470027139769,4.87323214687603,-9.18625643728737,1.45319306036583e-15,5.8223147850117e-14,24.8133070389909
"KAAG1",-1.54211965045649,3.53393401027273,-9.17798415329918,1.5203532649416e-15,6.06862504165009e-14,24.7686925590969
"CCNH",-4.93617677054929,7.08435643934711,-9.17394841072878,1.55423247493159e-15,6.19228255637389e-14,24.7469292593644
"NOTCH4",-1.01897289664796,5.2884194891405,-9.16687181308284,1.61546588084214e-15,6.4123185660565e-14,24.7087716429885
"ZNF17",-1.37402817351192,4.01898826618182,-9.14847526519801,1.78613738099088e-15,7.05045541054719e-14,24.6095993872552
"BCAT2",-2.45317999711235,7.41116496496281,-9.13249367783123,1.94892445447441e-15,7.6788342666607e-14,24.5234735406128
"RIPK1",-1.12527134792171,5.3211106707562,-9.10974971695651,2.20640566904022e-15,8.59813742013758e-14,24.4009500181146
"IMMP2L",-2.69488778371897,7.92057265487603,-9.10813583963094,2.22591472745018e-15,8.64261981903611e-14,24.3922579698744
"ANGPTL1",-1.04229034325872,4.53264772510193,-9.10454537208259,2.26993638973394e-15,8.7657308504102e-14,24.372921342677
"C19orf81",-1.96198359808942,4.08312905971901,-9.08083021623679,2.5833120470728e-15,9.92205553331648e-14,24.2452362906357
"TMEM51-AS1",-1.07256254389285,2.94377247612397,-9.07278658711667,2.6991104784466e-15,1.03482054339726e-13,24.2019420165811
"SNORD114-3",-2.26820971777437,4.13397749457025,-9.06287883094408,2.84887934079338e-15,1.08833306480577e-13,24.1486237158614
"MLANA",-1.97699822772262,5.01134017018182,-9.05937746878643,2.90376439860553e-15,1.1073194416468e-13,24.1297837597175
"LINC02274",-2.55017173587734,6.6514078152314,-9.05319354174936,3.00328616087596e-15,1.14119530187733e-13,24.096512823158
"KLK12",-1.39225687174345,4.76811086143251,-9.04905694517037,3.0717492274437e-15,1.15896121470071e-13,24.0742593019358
"IGSF21",-2.28711784502779,6.34219647923967,-9.01483725583653,3.70114356685049e-15,1.38663019070337e-13,23.8902404653299
"STX4",-2.67386090753146,6.54158389884711,-9.00709317961331,3.86054028723064e-15,1.44129087122046e-13,23.8486140951898
"PINK1",-1.39470715831734,3.13129025717355,-8.9989871719949,4.03471808641011e-15,1.50368943691602e-13,23.8050494312477
"DLEC1",-1.40091593664522,4.94650925409366,-8.99693672047576,4.08000433250067e-15,1.51791798816293e-13,23.7940307195307
"LGI1",-2.98823487277609,5.64629955612397,-8.98181701108858,4.42995073048199e-15,1.63954242373385e-13,23.7127951055487
"SNHG10",-1.04357853486316,3.97951137652617,-8.9539515365564,5.15509426491236e-15,1.89805237977937e-13,23.563146925408
"NXF2",-1.91276465442707,4.026091914573,-8.94982989574634,5.27195554329586e-15,1.93773856501003e-13,23.5410197393853
"ATRN",-2.01023107173679,8.24362272666116,-8.92088731952787,6.1703560819582e-15,2.24476923560847e-13,23.3856962448642
"TMEM59L",-1.928161927616,3.46505085213223,-8.91749201910587,6.28527835885103e-15,2.27550935361992e-13,23.3674814509545
"PSMD9",-1.01792163959762,5.36350798130165,-8.91541917771625,6.35648450961816e-15,2.29295146457594e-13,23.3563619345028
"LINC02067",-4.71922890195202,7.47888486582645,-8.87338448655655,7.98703487905851e-15,2.82806225341488e-13,23.1309826813346
