"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ZSWIM1",1.1793278707511,5.05393151910744,6.18771083365562,8.71283777225364e-09,1.03829604144239e-07,9.46339641034634
"MMP23B",1.03478253993886,8.17488885121488,6.16497548953819,9.71870707576428e-09,1.14728020786593e-07,9.35667086511159
"IQGAP2",1.00978142163767,8.29962084913636,6.16180944743907,9.8675535489334e-09,1.16356491461884e-07,9.3418247289297
"LENG1",1.38504534512666,6.07756948787603,6.14723606411524,1.05821355569865e-08,1.24439154636259e-07,9.2735384357069
"ATRAID",1.03595027736873,7.25772669800826,6.14298747557065,1.07998785583745e-08,1.26866879051557e-07,9.25364666573236
"TGM6",1.26299022714418,7.04354622119835,6.13730483587503,1.10980214720399e-08,1.29981913367323e-07,9.22705187426171
"CERS5",1.0102952656213,3.97658966851653,6.13429772099422,1.12590525406587e-08,1.31602116587722e-07,9.21298373320012
"SLC5A10",2.81610808855653,6.09627837598347,6.12781406594601,1.16141136875227e-08,1.35381767356467e-07,9.18266355466537
"GIMAP8",1.01369015962411,5.44096947079339,6.12577147147841,1.1728236073082e-08,1.36637469362065e-07,9.17311502094869
"CLEC18C",1.20848561947621,4.41756495691736,6.08153970219296,1.44885658572725e-08,1.6616719864772e-07,8.96675317465978
"DEFB4A",1.58123756388966,6.98224270343802,6.07853392012948,1.4697774326937e-08,1.68385713922607e-07,8.95275829850312
"SORCS3",1.97214319699544,5.49064320640496,6.0719062419225,1.51696265658373e-08,1.73048811599068e-07,8.92191281432649
"INTS5",1.06030371972816,8.32392185840909,6.06254107449682,1.58618602049138e-08,1.80079757935106e-07,8.87835723071015
"SLC10A3",1.52504798951241,6.03978759219008,6.0577015219381,1.62316573223953e-08,1.84082337822491e-07,8.8558633376275
"KLK10",1.11452877986731,6.49288234143388,6.05610181378192,1.63557473039367e-08,1.85391180294887e-07,8.8484300996241
"SP4",2.29634986319057,6.80238284404959,6.05315425081168,1.65868381833608e-08,1.87711674300832e-07,8.83473661372786
"LINC03013",1.45547333023863,7.62119977228099,6.0474172288913,1.70458661676383e-08,1.92498398736074e-07,8.80809427798897
"FAM89A",1.42036049593773,7.38325342875207,6.04593816166501,1.71662193559609e-08,1.93755081578512e-07,8.80122776418772
"FIRRE",1.20128918619849,6.15854029571901,6.04534594281967,1.72146426636622e-08,1.94198993176179e-07,8.79847866045591
"NPLOC4",1.27197462174939,6.91931499701653,6.03718103680906,1.78961009895359e-08,2.01365205569472e-07,8.76059142046918
"PITPNA-AS1",1.37352979401975,6.78413109617355,6.0371700693079,1.78970339578955e-08,2.01365205569472e-07,8.76054054677906
"CETN2",2.23224644295699,4.8043202421157,6.03681298464914,1.7927436080123e-08,2.0160105186468e-07,8.75888420596713
"STAM",1.12460375183362,12.4200623514711,6.00934680894681,2.0424529484201e-08,2.27051445671584e-07,8.63163863808136
"HYPK",1.17702596383114,4.67720953518595,6.00689298895837,2.06635798694433e-08,2.29469967816933e-07,8.62028564429027
"TDG",1.1181250611009,8.80047564586777,5.99154783295906,2.22220977028647e-08,2.45120297750349e-07,8.54934518886865
"FAM229B",1.73737025668887,7.04535577101653,5.98958638820871,2.24294557725368e-08,2.47024769480415e-07,8.54028447687821
"CNR2",1.34992036699939,6.58635782114876,5.98831709134397,2.25646541048674e-08,2.48068997351363e-07,8.53442192759237
"CREG1",1.00029249837157,5.11269940496694,5.97057527803702,2.45403681313909e-08,2.67650439962132e-07,8.45254718703124
"ITIH6",3.99878834623639,8.45965645121488,5.95957964664428,2.58491286990998e-08,2.81206389897747e-07,8.40187047193007
"OIT3",1.94143843201183,7.10381747266942,5.94741128657888,2.73774723086818e-08,2.96173212336322e-07,8.34584782566031
"CXCL9",1.6704015832556,9.452940016,5.93686882734882,2.87731166784604e-08,3.10642015504814e-07,8.2973610002394
"DUX3",1.73877917108932,6.65918434194215,5.93258689611111,2.93597204230219e-08,3.16335433720299e-07,8.27768091828244
"CDHR2",1.02761904670243,8.35556012847107,5.92639569941922,3.02287071294282e-08,3.25534059883479e-07,8.24923937688448
"TOMM20",1.26284490064788,4.94936056353306,5.92545379436735,3.03631065831059e-08,3.26323171153612e-07,8.24491380729394
"SLC10A1",1.06599536917871,4.75149868745455,5.90632108568722,3.32237241290282e-08,3.55279233237555e-07,8.15713074407172
"WFDC3",1.39616653444226,7.12342888463636,5.90532670905048,3.33794226589338e-08,3.56765550991758e-07,8.15257267376358
"RASD2",1.31356268576918,7.68410796936364,5.90207537876891,3.38935308884148e-08,3.62079215668884e-07,8.13767200719901
"SPMIP8",1.58598456473018,4.15269069657025,5.89629408189871,3.48269562678002e-08,3.71307863753806e-07,8.111187753229
"ERP27",1.61144189909159,5.74677509335537,5.88421738331637,3.68589877375826e-08,3.91409091564434e-07,8.05591009466792
"POLD1",1.25999552565094,10.0309631715372,5.88264189081874,3.71325194389044e-08,3.94117769690757e-07,8.04870331910389
"KIR3DL3",1.43255165644454,4.69143831723141,5.87981315288739,3.76286454661959e-08,3.98788944878717e-07,8.03576648798087
"LINC00886",2.48540132060743,6.60248625872727,5.87259518344503,3.89242664913242e-08,4.11702680001104e-07,8.00277166104158
"TRIM7",1.09743908370604,4.21651709310193,5.86544745138729,4.02504046670316e-08,4.24677565051611e-07,7.97011993214787
"PRAME",1.7774341940684,5.9268050855124,5.86175527807924,4.09526941284157e-08,4.31022564372754e-07,7.95326222656154
"CCL8",1.62334159044001,6.56685906012397,5.85718062349533,4.18395413931945e-08,4.39369606065562e-07,7.93238343213692
"UPK3B",1.84686384658876,6.26346431069422,5.85696807064613,4.18812022091829e-08,4.39495367654595e-07,7.93141355682363
"CASP8",1.05384953297,3.62466694939669,5.85318557879813,4.26294248109228e-08,4.46032026867837e-07,7.91415736369999
"SLC33A2",1.00057096151581,4.00374533819008,5.85062528563185,4.31433116677462e-08,4.50966921519687e-07,7.90248049454476
"SMIM1",1.53452161300562,5.30744543008264,5.84936989292004,4.33975033653404e-08,4.5295879001312e-07,7.89675599042373
"CLDN14",1.80828968699089,8.42269941271074,5.84820866287702,4.36339373737596e-08,4.54981803035467e-07,7.89146146768958
"IL2RB",1.51325242224994,9.36001939903306,5.84322280843111,4.46635386378935e-08,4.64131322439035e-07,7.8687355423878
"MICA-AS1",1.55029132080426,6.04215231357025,5.84086191666848,4.51593553147226e-08,4.68827434489986e-07,7.85797816003392
"ZBTB44-DT",1.27092307367583,10.0595984989256,5.8365607090535,4.60765856913482e-08,4.77189858117721e-07,7.83838595140854
"SLC51B",1.17279534747336,7.38241108329752,5.82006010407621,4.976802494742e-08,5.11451478706523e-07,7.7632993989813
"CASP4LP",1.3059330569188,6.05394395480992,5.81913115739101,4.99842595560116e-08,5.13193256528441e-07,7.75907571782874
"LOC102724030",1.45833282313176,5.38723210329752,5.80916865939378,5.2362013960084e-08,5.35275638160648e-07,7.71380247029438
"ST6GALNAC2",1.35922498348186,6.03618572187603,5.80551072011879,5.32626228457233e-08,5.426037174116e-07,7.6971903322603
"LOC105373170",1.18590716101185,5.02156620321488,5.80476180260356,5.34488768358327e-08,5.44042309260823e-07,7.69378992561957
"ZNF549",1.0951063455718,4.66523297701653,5.79787071060487,5.51929406659778e-08,5.60458986173065e-07,7.66251293922616
"ALG8",1.50305438881552,11.3224674467438,5.7874445153196,5.79383415838442e-08,5.86385442901892e-07,7.61523057750834
"TMEM91",2.2048821388178,10.5813438858678,5.78694934431663,5.80720086106941e-08,5.87181696913529e-07,7.61298618564225
"EPYC",1.26554405672845,7.93523581639669,5.78385955737706,5.8912928272844e-08,5.95120900315318e-07,7.59898398016758
"BRICD5",1.2674387570814,7.38124668632645,5.78244039328261,5.93031615131233e-08,5.98254681410655e-07,7.5925540624023
"PCDHB7",1.39909919809725,5.83590736610744,5.78207165224514,5.94049700038602e-08,5.98780539270354e-07,7.59088352370403
"NMI",1.18361428326408,7.77336134519835,5.78203389454833,5.94154044820361e-08,5.98780539270354e-07,7.59071247019798
"RHOBTB1",1.24120727214533,5.10380141230578,5.75663668684002,6.6857130771271e-08,6.6810202509148e-07,7.47579823681498
"GNPDA2",1.62990907459896,4.13659527413223,5.71751598522704,8.0142065480371e-08,7.91231534134685e-07,7.29935023941753
"TYROBP",1.22482748286872,7.74649661861983,5.71405908338019,8.14334041245995e-08,8.02126542933959e-07,7.28379131339459
"FUNDC1",1.1441095505752,3.96866259503306,5.70369765375328,8.54273705201047e-08,8.37757634246363e-07,7.23718845486229
